"Species","ESV","Mean_Abundance"
"MOCH","ESV_002242",180.435897435897
"MOCH","ESV_097518",177.974358974359
"MOCH","ESV_097818",167.871794871795
"MOCH","ESV_097444",161.717948717949
"MOCH","ESV_097417",160.948717948718
"MOCH","ESV_097464",150.076923076923
"MOCH","ESV_097154",149.871794871795
"MOCH","ESV_091094",140.820512820513
"MOCH","ESV_097947",140.615384615385
"MOCH","ESV_097372",134.435897435897
"MOCH","ESV_097339",133
"MOCH","ESV_097290",132.564102564103
"MOCH","ESV_001520",130.384615384615
"MOCH","ESV_097217",128.871794871795
"MOCH","ESV_097016",127.666666666667
"MOCH","ESV_097627",121.538461538462
"MOCH","ESV_097874",120.410256410256
"MOCH","ESV_001717",118.897435897436
"MOCH","ESV_097486",117.153846153846
"MOCH","ESV_092844",112.871794871795
"MOCH","ESV_097504",105.538461538462
"MOCH","ESV_097072",104.487179487179
"MOCH","ESV_097602",103.794871794872
"MOCH","ESV_097110",103.230769230769
"MOCH","ESV_097201",101.410256410256
"MOCH","ESV_097226",97.7179487179487
"MOCH","ESV_004337",96.0769230769231
"MOCH","ESV_097533",94.3076923076923
"MOCH","ESV_097006",94.0769230769231
"MOCH","ESV_097309",90.0769230769231
"MOCH","ESV_091703",89.4871794871795
"MOCH","ESV_097810",89.4102564102564
"MOCH","ESV_097574",87.2820512820513
"MOCH","ESV_097115",85.3589743589744
"MOCH","ESV_040998",84.7435897435897
"MOCH","ESV_097642",82.4358974358974
"MOCH","ESV_097117",78.2820512820513
"MOCH","ESV_001604",77.7948717948718
"MOCH","ESV_097248",75.3589743589744
"MOCH","ESV_097995",70.3076923076923
"MOCH","ESV_097903",68.3846153846154
"MOCH","ESV_097034",67.974358974359
"MOCH","ESV_097825",65.8205128205128
"MOCH","ESV_097506",63.8717948717949
"MOCH","ESV_097158",63.1025641025641
"MOCH","ESV_004599",62.7948717948718
"MOCH","ESV_097344",61.974358974359
"MOCH","ESV_096992",59.1794871794872
"MOCH","ESV_000348",57.8205128205128
"MOCH","ESV_097095",56.8974358974359
"MOCH","ESV_001807",56.3076923076923
"MOCH","ESV_097144",56.3076923076923
"MOCH","ESV_097881",54.7179487179487
"MOCH","ESV_097060",54.4358974358974
"MOCH","ESV_097377",51.4358974358974
