Species,USGS.Number,Band.Colors,Year,Date,Time.Trapped,Time.Bled,Recap,Site,Location,GPS.S,GPS.E,Elevation.(m),Bander,Sex,How.Sex,Age,How.Age,Release,Bird+Bag.(g),bag.(g),Bird.(g),Wing.(mm),Tarsus.(mm),Tail.(mm),Culmen.(mm),Culmen Depth.(mm),Culmen Width.(mm),Bill+Head.(mm),Hemo,Plasma,Blood,Fecal,Feather,Nest,Nest.Stage,Captured.with,,,,,,,,,,,
BCCH,2090-37448,WSB,2019,10-Jun,9:20,9:36,N,SGR,Debi's House,,,,ANT,M,CP,AHY,REC,Y,36,24,12,69,20.2,67,7.2,3.7,3.4,27.6,N,N,Y,N,Y,NA,NA,NA,,,,,,,,,,,
BCCH,2090-37445,SBL,2019,10-Jun,8:35,8:50,N,SGR,Debi's House,,,,ANT,F,BP,NA,NA,Y,NA,NA,NA,64,19.8,62,7.3,4,3.3,32.1,N,N,Y,N,Y,NA,NA,NA,,,,,,,,,,,
BCCH,2830-31953,YBW,2019,10-Jun,8:06,8:24,N,CU,Macky,,,,KCG,M,CP,ASY,REC,Y,35,24,11,67,17.2,68,7.4,4.8,5.2,27.8,N,N,Y,N,Y,113-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37457,OWL,2019,10-Jun,8:26,8:36,N,BLD,Liz Robinson,,,,ANT,M,CP,AHY,REC,Y,34,22,12,68,20.5,70,7.6,4.4,4,31,N,N,Y,N,Y,297-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37458,PBP,2019,10-Jun,8:59,9:07,N,BLD,Liz Robinson,,,,ANT,F,BP,ASY,REC,Y,39,28,11,64,18.7,65,7.5,4.4,4.3,27.6,N,N,Y,N,Y,297-2019,chicks,NA,,,,,,,,,,,
BCCH,2830-31964,OPY,2019,14-Jun,7:59,8:08,N,BLD,Brett + Kendi's,,,,KCG,F,BP,AHY,REC,Y,34,24,10,61,16.6,59,7.4,4.5,5.2,27,N,N,Y,N,Y,287-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37470,AAW,2019,27-Jun,7:26,7:40,N,SGR,Tracy,,,,ANT,F,BP,AHY,tail feathers,Y,39,26,13,65,19.3,65,7.7,3.9,3.7,27.5,N,N,Y,N,Y,336-2019,-,NA,,,,,,,,,,,
BCCH,2090-37484,LPY,2019,2-Jul,8:08,8:14,N,SGR,Strooks,,,,ANT,M,CP,AHY,REC,Y,36.5,25.5,11,63,18.3,65,7.5,4.2,4,27.4,N,N,Y,N,Y,207-2019,chicks,NA,,,,,,,,,,,
BCCH,2830-31975,OAO,2019,7-Jul,7:45,7:53,N,BLD,Paula's,,,,KCG,F,BP,AHY,REC,Y,37,26,11,65,17.4,63,7.4,4.1,5.1,27.4,N,N,Y,Y,Y,295-2019,chicks,BBL,,,,,,,,,,,
BCCH,2830-31973,BBL,2019,7-Jul,7:15,7:25,N,BLD,Paula's,,,,KCG,M,CP,SY,REC,Y,37,24,13,65,18.1,69,8,4.7,6.1,28.1,N,N,Y,N,Y,295-2019,chicks,OAO,,,,,,,,,,,
BCCH,2830-31991,YBO,2020,23-May,6:34,6:42,N,BLD,Anie Roche,-,-,-,KCG,M,CP,ASY,Rec,Y,36,24,12,70,17.2,65,8.1,4.7,5.1,29.1,N,N,Y,N,N,256-2020,chicks,OWA,-,,,,,,,,,,
BCCH,2830-31993,OWA,2020,23-May,8:41,8:46,N,BLD,Anie Roche,-,-,-,KCG,F,BP,ASY,Rec,Y,37,26,11,64,17.9,65,7.6,4.6,5.1,25.6,N,N,Y,N,N,256-2020,chicks,YBO,-,,,,,,,,,,
BCCH,2830-31992,OYO,2020,23-May,8:06,8:12,N,BLD,Anie R. Creek,-,-,-,KCG,F,BP,AHY,Rec,Y,34,23,11,66,18.1,64,8.3,5,4.9,28.1,N,N,Y,N,N,257-2020,chicks,AWG,-,,,,,,,,,,
BCCH,2830-31990,AWG,2020,23-May,6:10,6:20,N,BLD,Creek,-,-,-,KCG,M,CP,AHY,Rec,Y,35,24,11,70,17.2,69,7.9,4.5,5.4,28.8,N,N,Y,N,N,257-2020,chicks,OYO,-,,,,,,,,,,
BCCH,2830-31999,GPB,2020,24-May,10:30,10:45,N,BLD,Shopnitz's,-,-,-,KCG,F,BP,AHY,Rec,Y,36,25,11,63,17.1,61,7.5,4.2,5,-,N,N,Y,N,N,289-2020,chicks,BWR,-,,,,,,,,,,
BCCH,2830-31997,WAW,2020,24-May,9:02,9:11,N,BLD,Shopnitz's,-,-,-,KCG,F,BP,AHY,Rec,Y,35,24,11,62,16.2,61,7.4,4.3,4.5,26.5,N,N,Y,N,N,300-2020,chicks,OGA,-,,,,,,,,,,
BCCH,2830-31996,GYA,2020,24-May,8:09,8:15,N,BLD,Stephanie M,-,-,-,KCG,M,CP,ASY,Rec,Y,-,-,-,69,17,,7.5,4.5,5.1,28.1,N,N,Y,N,N,281-2020,chicks,RLO,-,,,,,,,,,,
BCCH,2830-31995,BOO,2020,24-May,7:27,7:34,N,BLD,Carrie Segil,-,-,-,KCG,F,BP,ASY,Rec,Y,34,23,11,66,17.3,66,8.9,4.4,5,28.3,N,N,Y,N,N,373-2020,chicks,AYW,-,,,,,,,,,,
