SampleID,Species,NestID,Site,Year,Elevation,Latitude,Longitude
S115332,MOCH,374-3-2024,MRS,2024,2874.264,-105.5358129,40.0309008
S115391,MOCH,186-1-2024,SGR,2024,2484.12,-105.462812,40.003478
S115341,MOCH,44-4-2024,MRS,2024,3223.26,-105.547642,40.036484
S115331,MOCH,209-1-2024,MRS,2024,2874.264,-105.533388,40.03153
S115312,BCCH,351-1-2024,BLD,2024,1589.532,-105.1259393,40.01589541
S115323,MOCH,18-2-2024,MRS,2024,3346.704,-105.5826304,40.0471448
S115310,BCCH,363-1-2024,BLD,2024,1694.688,-105.513611,39.96
S115301,MOCH,229-1-2024,SGR,2024,2508.504,-105.470965,40.001828
S115382,BCCH,261-1-2024,BLD,2024,1700.784,-105.27893,40.002003
S115361,BCCH,128-1-2024,BLD,2024,1638.3,-105.273349,40.007808
S115370,MOCH,207-1-2024,SGR,2024,2491.74,-105.475862,40.001763
S115330,MOCH,217-1-2024,FLG,2024,2324.1,-105.32453,39.98435
S115309,MOCH,16-1-2024,MRS,2024,3343.656,-105.580762,40.04764
S115353,MOCH,239-1-2024,FLG,2024,2324.1,-105.32388,39.98502
S115352,MOCH,254-1-2024,SGR,2024,1996.44,-105.35332,40.016307
S115333,MOCH,402-2-2024,MRS,2024,2874.264,-105.538305,40.031414
S115375,MOCH,229-2-2024,SGR,2024,2508.504,-105.470965,40.001828
S115303,MOCH,18-3-2024,MRS,2024,3346.704,-105.5826304,40.0471448
S115392,MOCH,402-3-2024,MRS,2024,2874.264,-105.538305,40.031414
S115383,MOCH,65-2-2024,MRS,2024,3223.26,-105.540053,40.034849
S115366,MOCH,217-2-2024,MRS,2024,2324.1,-105.32453,39.98435
S115396,MOCH,18-4-2024,MRS,2024,3346.704,-105.5826304,40.0471448
S115342,BCCH,261-2-2024,BLD,2024,1700.784,-105.27893,40.002003
S115316,MOCH,402-4-2024,MRS,2024,2874.264,-105.538305,40.031414
S115321,MOCH,403-1-2024,NED,2024,2493.264,-105.504444,39.958056
